episode_number,episode_title,episode_url
306,Sentir Gratidao Faz Bem Pra Saude,https://www.b9.com.br/shows/naruhodo/naruhodo-306-sentir-gratidao-faz-bem-pra-saude
307,Musica Melhora O Desempenho Em Atividades Fisicas,https://www.b9.com.br/shows/naruhodo/naruhodo-307-musica-melhora-o-desempenho-em-atividades-fisicas
308,Alimentos Reimosos Fazem Mal A Saude,https://www.b9.com.br/shows/naruhodo/naruhodo-308-alimentos-reimosos-fazem-mal-a-saude
309,Por Que Sentimos Medo Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-309-por-que-sentimos-medo-parte-1-de-2
310,Por Que Sentimos Medo Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-310-por-que-sentimos-medo-parte-2-de-2
311,O Apego Mae Bebe E Algo Inato,https://www.b9.com.br/shows/naruhodo/naruhodo-311-o-apego-mae-bebe-e-algo-inato
312,Ficar Sentado Muito Tempo Aumenta A Chance De Morrer Mais Cedo,https://www.b9.com.br/shows/naruhodo/naruhodo-312-ficar-sentado-muito-tempo-aumenta-a-chance-de-morrer-mais-cedo
313,Filtros De Fotos Em Redes Sociais Geram Problemas De Autoimagem,https://www.b9.com.br/shows/naruhodo/naruhodo-313-filtros-de-fotos-em-redes-sociais-geram-problemas-de-autoimagem
314,Covid 2021 De Onde Viemos E Para Onde Vamos Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-314-covid-2021-de-onde-viemos-e-para-onde-vamos-parte-1-de-2
315,Covid 2021 De Onde Viemos E Para Onde Vamos Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-315-covid-2021-de-onde-viemos-e-para-onde-vamos-parte-2-de-2
316,Como Funciona A Publicacao De Artigos Cientificos,https://www.b9.com.br/shows/naruhodo/naruhodo-316-como-funciona-a-publicacao-de-artigos-cientificos
317,Por Que Algumas Pessoas Tem Medo De Buracos,https://www.b9.com.br/shows/naruhodo/naruhodo-317-por-que-algumas-pessoas-tem-medo-de-buracos
318,Por Que Algumas Pessoas Acordam De Mau Humor,https://www.b9.com.br/shows/naruhodo/naruhodo-318-por-que-algumas-pessoas-acordam-de-mau-humor
319,O Tempo Passa Mais Rapido Quando Ficamos Mais Velhos,https://www.b9.com.br/shows/naruhodo/naruhodo-319-o-tempo-passa-mais-rapido-quando-ficamos-mais-velhos
320,Por Que Nos Identificamos Com Viloes,https://www.b9.com.br/shows/naruhodo/naruhodo-320-por-que-nos-identificamos-com-viloes
321,Debates Virtuais Sao Perda De Tempo,https://www.b9.com.br/shows/naruhodo/naruhodo-321-debates-virtuais-sao-perda-de-tempo
322,E Possivel Apagar Um Poste De Luz So Com A Forca Do Pensamento,https://www.b9.com.br/shows/naruhodo/naruhodo-322-e-possivel-apagar-um-poste-de-luz-so-com-a-forca-do-pensamento
323,Hooponopono E Os Numeros De Grabovoi Tem Validade Cientifica,https://www.b9.com.br/shows/naruhodo/naruhodo-323-hooponopono-e-os-numeros-de-grabovoi-tem-validade-cientifica
324,Por Que Sentimos Nostalgia,https://www.b9.com.br/shows/naruhodo/naruhodo-324-por-que-sentimos-nostalgia
325,Por Que Nos Apaixonamos Por Viloes Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-325-por-que-nos-apaixonamos-por-viloes-parte-1-de-2
326,Por Que Nos Apaixonamos Por Viloes Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-326-por-que-nos-apaixonamos-por-viloes-parte-2-de-2
327,Por Que Nao Esquecemos Como Andar De Bicicleta,https://www.b9.com.br/shows/naruhodo/naruhodo-327-por-que-nao-esquecemos-como-andar-de-bicicleta
328,Existem Gatilhos Mentais,https://www.b9.com.br/shows/naruhodo/naruhodo-328-existem-gatilhos-mentais
329,Por Que Mensagem Em Caixa Alta Parece Um Grito,https://www.b9.com.br/shows/naruhodo/naruhodo-329-por-que-mensagem-em-caixa-alta-parece-um-grito
330,O Teste Palografico Funciona,https://www.b9.com.br/shows/naruhodo/naruhodo-330-o-teste-palografico-funciona
331,Pessoas Sincronizam Suas Mentes Quando Estao Juntas,https://www.b9.com.br/shows/naruhodo/naruhodo-331-pessoas-sincronizam-suas-mentes-quando-estao-juntas
332,Todos Os Cachorros Falam A Mesma Lingua,https://www.b9.com.br/shows/naruhodo/naruhodo-332-todos-os-cachorros-falam-a-mesma-lingua
333,Quais As Consequencias Do Excesso De Reunioes Virtuais,https://www.b9.com.br/shows/naruhodo/naruhodo-333-quais-as-consequencias-do-excesso-de-reunioes-virtuais
334,Por Que Caimos Em Golpes,https://www.b9.com.br/shows/naruhodo/naruhodo-334-por-que-caimos-em-golpes
335,Por Que Algumas Pessoas Tem Prazer Em Espremer Cravos E Espinhas,https://www.b9.com.br/shows/naruhodo/naruhodo-335-por-que-algumas-pessoas-tem-prazer-em-espremer-cravos-e-espinhas
