Episode Title,Episode URL,Reference
Empreender se aprende ou é algo que nasce com a pessoa?,https://www.b9.com.br/shows/naruhodo/naruhodo-431-empreender-se-aprende-ou-e-algo-que-nasce-com-a-pessoa/,"Oeste Outra Vez
Cinemático"
Empreender se aprende ou é algo que nasce com a pessoa?,https://www.b9.com.br/shows/naruhodo/naruhodo-431-empreender-se-aprende-ou-e-algo-que-nasce-com-a-pessoa/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Empreender se aprende ou é algo que nasce com a pessoa?,https://www.b9.com.br/shows/naruhodo/naruhodo-431-empreender-se-aprende-ou-e-algo-que-nasce-com-a-pessoa/,"Entrevista #39: Mila Massuda
Naruhodo!"
Empreender se aprende ou é algo que nasce com a pessoa?,https://www.b9.com.br/shows/naruhodo/naruhodo-431-empreender-se-aprende-ou-e-algo-que-nasce-com-a-pessoa/,"2020, o ano que nunca acabou
Braincast"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-431-empreender-se-aprende-ou-e-algo-que-nasce-com-a-pessoa/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-431-empreender-se-aprende-ou-e-algo-que-nasce-com-a-pessoa/&via=brains9&text=Naruhodo #431 – Empreender se aprende ou é algo que nasce com a pessoa?,
Por que é tão difícil deixar o rancor de lado?,https://www.b9.com.br/shows/naruhodo/naruhodo-430-por-que-e-tao-dificil-deixar-o-rancor-de-lado/,"Estamos passando pano pra IA?
Braincast"
Por que é tão difícil deixar o rancor de lado?,https://www.b9.com.br/shows/naruhodo/naruhodo-430-por-que-e-tao-dificil-deixar-o-rancor-de-lado/,"Oeste Outra Vez
Cinemático"
Por que é tão difícil deixar o rancor de lado?,https://www.b9.com.br/shows/naruhodo/naruhodo-430-por-que-e-tao-dificil-deixar-o-rancor-de-lado/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Por que é tão difícil deixar o rancor de lado?,https://www.b9.com.br/shows/naruhodo/naruhodo-430-por-que-e-tao-dificil-deixar-o-rancor-de-lado/,"Entrevista #39: Mila Massuda
Naruhodo!"
Por que é tão difícil deixar o rancor de lado?,https://www.b9.com.br/shows/naruhodo/naruhodo-430-por-que-e-tao-dificil-deixar-o-rancor-de-lado/,"2020, o ano que nunca acabou
Braincast"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-430-por-que-e-tao-dificil-deixar-o-rancor-de-lado/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-430-por-que-e-tao-dificil-deixar-o-rancor-de-lado/&via=brains9&text=Naruhodo #430 – Por que é tão difícil deixar o rancor de lado?,
Qual o impacto das bets em nossas vidas?,https://www.b9.com.br/shows/naruhodo/naruhodo-429-qual-o-impacto-das-bets-em-nossas-vidas/,"Estamos passando pano pra IA?
Braincast"
Qual o impacto das bets em nossas vidas?,https://www.b9.com.br/shows/naruhodo/naruhodo-429-qual-o-impacto-das-bets-em-nossas-vidas/,"Oeste Outra Vez
Cinemático"
Qual o impacto das bets em nossas vidas?,https://www.b9.com.br/shows/naruhodo/naruhodo-429-qual-o-impacto-das-bets-em-nossas-vidas/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Qual o impacto das bets em nossas vidas?,https://www.b9.com.br/shows/naruhodo/naruhodo-429-qual-o-impacto-das-bets-em-nossas-vidas/,"Entrevista #39: Mila Massuda
Naruhodo!"
